Code,Name,Country,Exchange,Currency,Type,Isin
ECF,Ellsworth Convertible Growth & IF,USA,NYSE MKT,USD,Common Stock,US2890741067
ECF-P-A,Ellsworth Fund Ltd,USA,NYSE MKT,USD,Preferred Stock,US2890742057
ECF-PA,Ellsworth Growth and Income Fund Ltd,USA,NYSE MKT,USD,Preferred Stock,US2890742057
ECG,Everus Construction Group Inc,USA,NYSE,USD,Common Stock,US3004261034
ECL,Ecolab Inc,USA,NYSE,USD,Common Stock,US2788651006
ECLN,First Trust EIP Carbon Impact ETF,USA,NYSE ARCA,USD,ETF,US33738D7057
ECML,EA Series Trust,USA,NYSE ARCA,USD,ETF,US02072L4665
ECNS,iShares MSCI China Small-Cap ETF,USA,NYSE ARCA,USD,ETF,US46429B2007
ECO,Okeanis Eco Tankers Corp.,USA,NYSE,USD,Common Stock,MHY641771016
ECON,Columbia Emerging Markets Consumer ETF,USA,NYSE ARCA,USD,ETF,US19762B5093
ECVT,Ecovyst Inc,USA,NYSE,USD,Common Stock,US27923Q1094
ED,Consolidated Edison Inc,USA,NYSE,USD,Common Stock,US2091151041
EDC,Direxion Daily MSCI Emerging Markets Bull 3X Shares,USA,NYSE ARCA,USD,ETF,US25490K2814
EDD,Morgan Stanley Emerging Markets Domestic Debt Closed Fund,USA,NYSE,USD,FUND,US6174771047
EDF,Stone Harbor Emerging Markets Income Fund,USA,NYSE,USD,FUND,US86164T1079
EDGE,MRBL Enhanced Equity ETF,USA,NYSE,USD,ETF,
EDGF,3EDGE Dynamic Fixed Income ETF,USA,NYSE ARCA,USD,ETF,
EDGH,The Advisorsâ Inner Circle Fund II,USA,NYSE ARCA,USD,Common Stock,
EDGI,The Advisorsâ Inner Circle Fund II,USA,NYSE ARCA,USD,Common Stock,
EDGU,The Advisorsâ Inner Circle Fund II,USA,NYSE ARCA,USD,Common Stock,
EDIV,SPDR® S&P Emerging Markets Dividend ETF,USA,NYSE ARCA,USD,ETF,US78463X5335
EDN,Empresa Distribuidora y Comercializadora Norte SA ADR,USA,NYSE,USD,Common Stock,US29244A1025
EDOG,ALPS Emerging Sector Dividend Dogs ETF,USA,NYSE ARCA,USD,ETF,US00162Q6686
EDOW,First Trust Dow 30 Equal Weight ETF,USA,NYSE ARCA,USD,ETF,US33733A2015
EDU,New Oriental Education & Technology,USA,NYSE,USD,Common Stock,US6475812060
EDV,Vanguard Extended Duration Treasury Index Fund ETF Shares,USA,NYSE ARCA,USD,ETF,US9219107094
EDZ,Direxion Daily MSCI Emerging Markets Bear 3X Shares,USA,NYSE ARCA,USD,ETF,US25459Y4706
EE,Excelerate Energy Inc,USA,NYSE,USD,Common Stock,US30069T1016
EEA,European Equity Closed Fund,USA,NYSE,USD,FUND,US2987681028
EELV,Invesco S&P Emerging Markets Low Volatility ETF,USA,NYSE ARCA,USD,ETF,US46138E2972
EEM,iShares MSCI Emerging Markets ETF,USA,NYSE ARCA,USD,ETF,US4642872349
EEMO,Invesco S&P Emerging Markets Momentum ETF,USA,NYSE ARCA,USD,ETF,US46138E2899
EEMS,iShares MSCI Emerging Markets Small-Cap ETF,USA,NYSE ARCA,USD,ETF,US4642864759
EEMX,SPDR® MSCI Emerging Markets Fossil Fuel Reserves Free ETF,USA,NYSE ARCA,USD,ETF,US78470E2054
EES,WisdomTree U.S. SmallCap Earnings Fund,USA,NYSE ARCA,USD,ETF,US97717W5629
EET,ProShares Ultra MSCI Emerging Markets,USA,NYSE ARCA,USD,ETF,US74347X3026
EETH,ProShares Trust,USA,NYSE ARCA,USD,ETF,US74349Y1001
EEV,ProShares UltraShort MSCI Emerging Markets,USA,NYSE ARCA,USD,ETF,US74347B2842
EEX,Emerald Expositions Events Inc,USA,NYSE,USD,Common Stock,US29103W1045
EFA,iShares MSCI EAFE ETF,USA,NYSE ARCA,USD,ETF,US4642874659
EFAA,Invesco Actively Managed Exchange-Traded Fund Trust,USA,NYSE ARCA,USD,ETF,
EFAX,SPDR® MSCI EAFE Fossil Fuel Reserves Free ETF,USA,NYSE ARCA,USD,ETF,US78470E1064
EFC,Ellington Financial Inc.,USA,NYSE,USD,Common Stock,US28852N1090
EFC-P-A,EFC-P-A,USA,NYSE,USD,Preferred Stock,US28852N4060
EFC-P-B,EFC-P-B,USA,NYSE,USD,Preferred Stock,US28852N4060
EFC-P-C,EFC-P-C,USA,NYSE,USD,Preferred Stock,US28852N4060
EFC-P-D,EFC-P-D,USA,NYSE,USD,Common Stock,US28852N4060
EFC-PA,Ellington Financial Inc,USA,NYSE,USD,Preferred Stock,US28852N4060
EFC-PB,Ellington Financial Inc.,USA,NYSE,USD,Preferred Stock,US28852N3070
EFC-PC,Ellington Financial Inc.,USA,NYSE,USD,Preferred Stock,US28852N4060
EFC-PD,Ellington Financial Inc.,USA,NYSE,USD,Common Stock,US28852N2080
EFFE,Harbor ETF Trust,USA,NYSE ARCA,USD,ETF,US37950E1432
EFFI,Harbor ETF Trust,USA,NYSE ARCA,USD,ETF,
EFIV,SPDR® S&P 500® ESG ETF,USA,NYSE ARCA,USD,ETF,US78468R5312
EFO,ProShares Ultra MSCI EAFE,USA,NYSE ARCA,USD,ETF,US74347X5005
EFR,Eaton Vance Senior Floating Rate Closed Fund,USA,NYSE,USD,Common Stock,US27828Q1058
EFT,Eaton Vance Floating Rate Income Closed Fund,USA,NYSE,USD,Common Stock,US2782791048
EFU,ProShares UltraShort MSCI EAFE,USA,NYSE ARCA,USD,ETF,US74348A4756
EFX,Equifax Inc,USA,NYSE,USD,Common Stock,US2944291051
EFXT,Enerflex Ltd.,USA,NYSE,USD,Common Stock,CA29269R1055
EFZ,ProShares Short MSCI EAFE,USA,NYSE ARCA,USD,ETF,US74347R3701
EG,Everest Group Ltd,USA,NYSE,USD,Common Stock,BMG3223R1088
EGG,ENIGMATIG LIMITED,USA,NYSE MKT,USD,Common Stock,KYG3066T1040
EGGS,NestYield Total Return Guard ETF,USA,NYSE ARCA,USD,ETF,US45259A7954
EGGY,NestYield Dynamic Income ETF,USA,NYSE ARCA,USD,ETF,
EGLE,Global X Funds,USA,NYSE ARCA,USD,ETF,
EGO,Eldorado Gold Corp,USA,NYSE,USD,Common Stock,CA2849025093
EGP,EastGroup Properties Inc,USA,NYSE,USD,Common Stock,US2772761019
EGY,Vaalco Energy Inc,USA,NYSE,USD,Common Stock,US91851C2017
EHAB,Enhabit Inc.,USA,NYSE,USD,Common Stock,US29332G1022
EHC,Encompass Health Corp,USA,NYSE,USD,Common Stock,US29261A1007
EHI,Western Asset Global High Income Closed Fund,USA,NYSE,USD,FUND,US95766B1098
EIC,Eagle Point Income Company Inc,USA,NYSE,USD,Common Stock,US2698171020
EICA,Eagle Point Income Company Inc Preferred Series A,USA,NYSE,USD,Common Stock,US2698172010
EICB,Eagle Point Income Company Inc.,USA,NYSE,USD,Common Stock,US2698173000
EIDO,iShares MSCI Indonesia ETF,USA,NYSE ARCA,USD,ETF,US46429B3096
EIG,Employers Holdings Inc,USA,NYSE,USD,Common Stock,US2922181043
EIM,Eaton Vance MBF,USA,NYSE MKT,USD,FUND,US27827X1019
EINC,VanEck Energy Income ETF,USA,NYSE ARCA,USD,ETF,US92189H8705
EIPI,First Trust Exchange-Traded Fund VIII,USA,NYSE ARCA,USD,ETF,
EIPX,First Trust Exchange-Traded Fund IV - FT Energy Income Partners Strategy ETF,USA,NYSE ARCA,USD,ETF,US33739Q8042
EIRL,iShares MSCI Ireland ETF,USA,NYSE ARCA,USD,ETF,US46429B5075
EIS,iShares MSCI Israel ETF,USA,NYSE ARCA,USD,ETF,US4642866325
EIX,Edison International,USA,NYSE,USD,Common Stock,US2810201077
EJAN,Innovator MSCI Emerging Markets Power Buffer ETF January,USA,NYSE ARCA,USD,ETF,US45782C5168
EJUL,Innovator MSCI Emerging Markets Power Buffer ETF - July,USA,NYSE ARCA,USD,ETF,US45782C7149
EL,Estee Lauder Companies Inc,USA,NYSE,USD,Common Stock,US5184391044
ELA,Envela Corp,USA,NYSE MKT,USD,Common Stock,US29402E1029
ELAN,Elanco Animal Health,USA,NYSE,USD,Common Stock,US28414H1032
ELC,Entergy Louisiana LLC Pref,USA,NYSE,USD,Common Stock,US29364W1080
ELCV,Strategy Shares,USA,NYSE ARCA,USD,Common Stock,US86280R7952
ELD,WisdomTree Emerging Markets Local Debt Fund,USA,NYSE ARCA,USD,ETF,US97717X8671
ELF,ELF Beauty Inc,USA,NYSE,USD,Common Stock,US26856L1035
ELLO,Ellomay Capital Ltd,USA,NYSE MKT,USD,Common Stock,IL0010826357
ELM,Elm Market Navigator ETF,USA,NYSE ARCA,USD,ETF,
ELMD,Electromed Inc,USA,NYSE MKT,USD,Common Stock,US2854091087
ELME,Elme Communities,USA,NYSE,USD,Common Stock,US9396531017
ELP,Companhia Paranaense de Energia Pref ADR,USA,NYSE,USD,Common Stock,US20441B6056
ELPC,Companhia Paranaense de Energia - COPEL,USA,NYSE,USD,Common Stock,US20441B7047
ELS,Equity Lifestyle Properties Inc,USA,NYSE,USD,Common Stock,US29472R1086
ELV,Elevance Health Inc,USA,NYSE,USD,Common Stock,US0367521038
EMA,Emera Incorporated,USA,NYSE,USD,Common Stock,CA2908761018
EMBD,Global X Emerging Markets Bond ETF,USA,NYSE ARCA,USD,ETF,US37954Y3505
EMBJ,Embraer S.A.,USA,NYSE,USD,Common Stock,US29082A1079
EMBX,VanEck Funds,USA,NYSE ARCA,USD,ETF,
EMC,Global X Funds,USA,NYSE ARCA,USD,ETF,US2686481027
EMCR,Xtrackers Emerging Markets Carbon Reduction and Climate Improvers ETF,USA,NYSE ARCA,USD,ETF,US2330511922
EMCS,Xtrackers MSCI Emerging Markets Climate Selection ETF,USA,NYSE ARCA,USD,ETF,
EMD,Western Asset Emerging Markets Debt,USA,NYSE,USD,FUND,US95766A1016
EMDM,First Trust Bloomberg Emerging Market Democracies ETF,USA,NYSE ARCA,USD,ETF,US33734X7545
EME,EMCOR Group Inc,USA,NYSE,USD,Common Stock,US29084Q1004
EMES,Harbor ETF Trust,USA,NYSE,USD,ETF,
EMF,Templeton Emerging Markets Closed Fund,USA,NYSE,USD,FUND,US8801911012
EMHC,SPDR Bloomberg Barclays Emerging Markets USD Bond ETF,USA,NYSE ARCA,USD,ETF,US78468R5155
EMKT,Lazard Active ETF Trust,USA,NYSE,USD,ETF,
EMLC,VanEck J.P. Morgan EM Local Currency Bond ETF,USA,NYSE ARCA,USD,ETF,US92189H3003
EMLP,First Trust North American Energy Infrastructure Fund,USA,NYSE ARCA,USD,ETF,US33738D1019
EMM,Global X Funds,USA,NYSE ARCA,USD,ETF,US37960A6367
EMMF,WisdomTree Emerging Markets Multifactor Fund,USA,NYSE ARCA,USD,ETF,US97717Y7821
EMN,Eastman Chemical Company,USA,NYSE,USD,Common Stock,US2774321002
EMNT,PIMCO Enhanced Short Maturity Active ESG Exchange-Traded Fund,USA,NYSE ARCA,USD,ETF,US72201R6430
EMO,ClearBridge Energy MLP Opportunity Closed Fund,USA,NYSE,USD,FUND,US18469P2092
EMOP,"AB Active ETFs, Inc.",USA,NYSE,USD,ETF,
EMOT,First Trust Exchange-Traded Fund VI,USA,NYSE ARCA,USD,ETF,US33738R6137
EMP,Entergy Mississippi LLC,USA,NYSE,USD,Common Stock,US29364N1081
EMPB,Efficient Market Portfolio Plus ETF,USA,NYSE ARCA,USD,ETF,US02072Q8877
EMQQ,EMQQ The Emerging Markets Internet & Ecommerce ETF,USA,NYSE ARCA,USD,ETF,US3015058890
EMR,Emerson Electric Company,USA,NYSE,USD,Common Stock,US2910111044
EMSF,Matthews Emerging Markets Sustainable Future Active ETF,USA,NYSE ARCA,USD,ETF,US5771306280
EMSG,DBX ETF Trust - Xtrackers MSCI Emerging Markets ESG Leaders Equity ETF,USA,NYSE ARCA,USD,ETF,US2330512268
EMTY,ProShares Decline of the Retail Store ETF,USA,NYSE ARCA,USD,ETF,US74347B3675
ENB,Enbridge Inc,USA,NYSE,USD,Common Stock,CA29250N1050
ENFR,Alerian Energy Infrastructure ETF,USA,NYSE ARCA,USD,ETF,US00162Q6769
ENFY,Enlightify Inc.,USA,NYSE,USD,Common Stock,US16943W2044
ENIC,Enel Chile SA ADR,USA,NYSE,USD,Common Stock,US29278D1054
ENJ,Entergy New Orleans Inc Pref,USA,NYSE,USD,Common Stock,US29364P5098
ENO,Entergy New Orleans LLC Pref,USA,NYSE,USD,Common Stock,US29364P1030
ENOV,Enovis Corp,USA,NYSE,USD,Common Stock,US1940145022
ENR,Energizer Holdings Inc,USA,NYSE,USD,Common Stock,US29272W1099
ENS,Enersys,USA,NYSE,USD,Common Stock,US29275Y1029
ENVA,Enova International Inc,USA,NYSE,USD,Common Stock,US29357K1034
EOCT,Innovator ETFs Trust - Innovator Emerging Markets Power Buffer ETF - July,USA,NYSE ARCA,USD,ETF,US45782C6232
EOD,Wells Fargo Advantage Funds - Allspring Global Dividend Opportunity Fund,USA,NYSE,USD,FUND,US94987C1036
EOG,EOG Resources Inc,USA,NYSE,USD,Common Stock,US26875P1012
EOI,Eaton Vance Enhanced Equity Income Closed Fund,USA,NYSE,USD,FUND,US2782741050
EONR,EON Resources Inc.,USA,NYSE MKT,USD,Common Stock,US40472A1025
EONR-WT,EON Resources Inc. WT,USA,NYSE ARCA,USD,Common Stock,
EOS,Eaton Vance Enhanced Equity Income II Closed Fund,USA,NYSE,USD,FUND,US2782771081
EOT,Eaton Vance National Municipal Opportunities Closed Fund,USA,NYSE,USD,Common Stock,US27829L1052
EP,Empire Petroleum Corp,USA,NYSE MKT,USD,Common Stock,US2920343033
EP-P-C,El Paso Corporation Preferred Stock,USA,NYSE,USD,Preferred Stock,US2836782092
EP-PC,El Paso Energy Capital Trust I PFD CV TR SECS,USA,NYSE,USD,Preferred Stock,US2836782092
EPAC,Enerpac Tool Group Corp,USA,NYSE,USD,Common Stock,US2927651040
EPAI,Harbor ETF Trust,USA,NYSE ARCA,USD,ETF,
EPAM,EPAM Systems Inc,USA,NYSE,USD,Common Stock,US29414B1044
EPC,Edgewell Personal Care Co,USA,NYSE,USD,Common Stock,US28035Q1022
EPD,Enterprise Products Partners LP,USA,NYSE,USD,Common Stock,US2937921078
EPEM,Harbor ETF Trust,USA,NYSE,USD,ETF,
EPHE,iShares MSCI Philippines ETF,USA,NYSE ARCA,USD,ETF,US46429B4086
EPI,WisdomTree India Earnings Fund,USA,NYSE ARCA,USD,ETF,US97717W4226
EPIN,Harbor ETF Trust,USA,NYSE,USD,ETF,
EPM,Evolution Petroleum Corporation Inc,USA,NYSE MKT,USD,Common Stock,US30049A1079
EPMB,Harbor ETF Trust,USA,NYSE,USD,ETF,
EPMV,Harbor ETF Trust,USA,NYSE,USD,ETF,
EPOL,iShares MSCI Poland ETF,USA,NYSE ARCA,USD,ETF,US46429B6065
EPP,iShares MSCI Pacific ex Japan ETF,USA,NYSE ARCA,USD,ETF,US4642866655
EPR,EPR Properties,USA,NYSE,USD,Common Stock,US26884U1097
EPR-P-C,EPR Properties 5.75% Series C Cumulative Convertible Preferred Shares,USA,NYSE,USD,Preferred Stock,US26884U2087
EPR-P-E,EPR-P-E,USA,NYSE,USD,Common Stock,US26884U2087
EPR-P-G,EPR Properties 5.750% Series G Cumulative Redeemable Preferred Shares,USA,NYSE,USD,Preferred Stock,US26884U2087
EPR-PC,EPR Properties,USA,NYSE,USD,Preferred Stock,US26884U2087
EPR-PE,EPR Properties Series E Cumulative Conv Pfd Shs Ser E,USA,NYSE,USD,Preferred Stock,US26884U3077
EPR-PG,EPR Properties,USA,NYSE,USD,Preferred Stock,US26884U5056
EPRT,Essential Properties Realty Trust Inc,USA,NYSE,USD,Common Stock,US29670E1073
EPS,WisdomTree U.S. Earnings 500 Fund,USA,NYSE ARCA,USD,ETF,US97717W5884
EPSB,Harbor ETF Trust,USA,NYSE,USD,ETF,
EPSV,Harbor SMID Cap Value ETF,USA,NYSE,USD,ETF,
EPU,iShares MSCI Peru ETF,USA,NYSE ARCA,USD,ETF,US4642898427
EPV,ProShares UltraShort FTSE Europe,USA,NYSE ARCA,USD,ETF,US74348A4343
EQAL,Invesco Russell 1000 Equal Weight ETF,USA,NYSE ARCA,USD,ETF,US46138E4200
EQBK,"Equity Bancshares, Inc.",USA,NYSE,USD,Common Stock,US29460X1090
EQH,Axa Equitable Holdings Inc,USA,NYSE,USD,Common Stock,US29452E1010
EQH-P-A,EQH-P-A,USA,NYSE,USD,Preferred Stock,US29452E2000
EQH-P-C,EQH-P-C,USA,NYSE,USD,Preferred Stock,US29452E2000
EQH-PA,Equitable Holdings Inc,USA,NYSE,USD,Preferred Stock,US29452E2000
EQH-PC,Equitable Holdings Inc.,USA,NYSE,USD,Preferred Stock,US29452E2000
EQIN,Russell Equity Income ETF,USA,NYSE ARCA,USD,ETF,
EQL,ALPS Equal Sector Weight ETF,USA,NYSE ARCA,USD,ETF,US00162Q2057
EQNR,Equinor ASA ADR,USA,NYSE,USD,Common Stock,US29446M1027
EQR,Equity Residential,USA,NYSE,USD,Common Stock,US29476L1070
EQS,Equus Total Return Closed Fund,USA,NYSE,USD,Common Stock,US2947661003
EQT,EQT Corporation,USA,NYSE,USD,Common Stock,US26884L1098
EQTY,Kovitz Core Equity ETF,USA,NYSE ARCA,USD,ETF,US92046L3539
EQV,EQV Ventures Acquisition Corp.,USA,NYSE,USD,Common Stock,KYG3106N1097
EQV-UN,EQV Ventures Acquisition Corp,USA,NYSE,USD,Common Stock,KYG3106N1097
EQWL,Invesco S&P 100 Equal Weight ETF,USA,NYSE ARCA,USD,ETF,US46137V4499
EQWM,Invesco S&P MidCap Quality ETF,USA,NYSE ARCA,USD,ETF,US46137V4721
EQX,Equinox Gold Corp,USA,NYSE MKT,USD,Common Stock,CA29446Y5020
ERC,Allspring Multi Sector Income Fund,USA,NYSE MKT,USD,Common Stock,US94987D1019
ERH,Allspring Utilities and High Income Fund,USA,NYSE MKT,USD,FUND,US94987E1091
ERJ,Embraer SA ADR,USA,NYSE,USD,Common Stock,US29082A1079
ERO,Ero Copper Corp,USA,NYSE,USD,Common Stock,CA2960061091
ERTH,Invesco MSCI Sustainable Future ETF,USA,NYSE ARCA,USD,ETF,US46137V4077
ERX,Direxion Daily Energy Bull 2X Shares,USA,NYSE ARCA,USD,ETF,US25460G6098
ERY,Direxion Daily Energy Bear 2X Shares,USA,NYSE ARCA,USD,ETF,US25460E5548
ES,Eversource Energy,USA,NYSE,USD,Common Stock,US30040W1080
ESAB,ESAB Corp,USA,NYSE,USD,Common Stock,US29605J1060
ESBA,Empire State Realty OP LP ES,USA,NYSE ARCA,USD,Common Stock,US2921021000
ESBG,First Trust Exchange-Traded Fund VII,USA,NYSE ARCA,USD,ETF,
ESE,ESCO Technologies Inc,USA,NYSE,USD,Common Stock,US2963151046
ESGA,American Century Sustainable Equity ETF,USA,NYSE ARCA,USD,ETF,US0250727528
ESGB,IndexIQ Active ETF Trust - IQ MacKay ESG Core Plus Bond ETF,USA,NYSE ARCA,USD,ETF,US45409F7859
ESGN,Columbia Sustainable International Equity Income ETF,USA,NYSE ARCA,USD,ETF,US19761L2016
ESGS,Columbia Sustainable U.S. Equity Income ETF,USA,NYSE ARCA,USD,ETF,US19761L3006
ESGY,American Century Sustainable Growth ETF,USA,NYSE ARCA,USD,ETF,US0250723808
ESI,Element Solutions Inc,USA,NYSE,USD,Common Stock,US28618M1062
ESIM,Strategy Shares,USA,NYSE ARCA,USD,ETF,
ESIX,SPDR S&P SmallCap 600 ESG ETF,USA,NYSE ARCA,USD,ETF,US78468R4810
ESLG,Strategy Shares,USA,NYSE,USD,ETF,
ESLV,Strategy Shares,USA,NYSE,USD,ETF,
ESNT,Essent Group Ltd,USA,NYSE,USD,Common Stock,BMG3198U1027
ESP,Espey Mfg & Electronics Corp,USA,NYSE MKT,USD,Common Stock,US2966501049
ESRT,Empire State Realty Trust Inc,USA,NYSE,USD,Common Stock,US2921041065
ESS,Essex Property Trust Inc,USA,NYSE,USD,Common Stock,US2971781057
ESSC,Strategy Shares,USA,NYSE ARCA,USD,ETF,
ESTC,Elastic NV,USA,NYSE,USD,Common Stock,NL0013056914
ESUM,Strategy Shares - Eventide US Market ETF,USA,NYSE ARCA,USD,ETF,
ET,Energy Transfer LP,USA,NYSE,USD,Common Stock,US29273V1008
ET-P-I,ET-P-I,USA,NYSE,USD,Common Stock,US29273V7047
ET-PI,Energy Transfer LP,USA,NYSE,USD,Common Stock,US29273V1008
ETB,Eaton Vance Tax Managed Buy Write Income Closed Fund,USA,NYSE,USD,FUND,US27828X1000
ETCO,Grayscale Ethereum Covered Call ETF,USA,NYSE ARCA,USD,ETF,
ETD,Ethan Allen Interiors Inc,USA,NYSE,USD,Common Stock,US2976021046
ETFT,ALPS Series Trust,USA,NYSE ARCA,USD,Common Stock,
ETG,Eaton Vance Tax Advantaged Global Dividend Income Closed Fund,USA,NYSE,USD,FUND,US27828S1015
ETH,Grayscale Ethereum Mini Trust (ETH),USA,NYSE ARCA,USD,ETF,
ETHD,Proshares UltraShort Ether ETF,USA,NYSE ARCA,USD,ETF,US74349Y7958
ETHE,Grayscale Ethereum Trust (ETH),USA,NYSE,USD,ETF,US3896381072
ETHO,"Amplify Etho Climate Leadership U.S. ETF
",USA,NYSE ARCA,USD,ETF,US0321085575
ETHT,ProShares Trust,USA,NYSE ARCA,USD,ETF,
ETHW,Bitwise Ethereum ETF,USA,NYSE ARCA,USD,ETF,
ETI-P,Entergy Texas Inc,USA,NYSE,USD,Preferred Stock,US29365T3023
ETJ,Eaton Vance Risk Managed Diversified Equity Income Closed Fund,USA,NYSE,USD,FUND,US27829G1067
ETN,Eaton Corporation PLC,USA,NYSE,USD,Common Stock,IE00B8KQN827
ETO,Eaton Vance Tax Advantaged Global Dividend Opportunities Closed Fund,USA,NYSE,USD,FUND,US27828U1060
ETP,Energy Transfer Partners L.P,USA,NYSE,USD,Common Stock,US29278N1037
ETR,Entergy Corporation,USA,NYSE,USD,Common Stock,US29364G1031
ETSY,"Etsy, Inc.",USA,NYSE,USD,Common Stock,US29786A1060
ETV,Eaton Vance Tax Managed Buy Write Opportunities Closed Fund,USA,NYSE,USD,FUND,US27828Y1082
ETW,Eaton Vance Tax Managed Global Buy Write Opportunities Closed Fund,USA,NYSE,USD,FUND,US27829C1053
ETX,Eaton Vance Municipal Income Term Closed Fund,USA,NYSE,USD,Common Stock,US27829U1051
ETY,Eaton Vance Tax Managed Diversified Equity Income Closed Fund,USA,NYSE,USD,FUND,US27828N1028
EU,enCore Energy Corp. Common Shares,USA,NYSE MKT,USD,Common Stock,CA29259W7008
EUDG,WisdomTree Europe Quality Dividend Growth Fund,USA,NYSE ARCA,USD,ETF,US97717X6105
EUM,ProShares Short MSCI Emerging Markets,USA,NYSE ARCA,USD,ETF,US74347R3966
EUO,ProShares UltraShort Euro,USA,NYSE ARCA,USD,ETF,US74347W8828
EURL,Direxion Daily FTSE Europe Bull 3X Shares,USA,NYSE ARCA,USD,ETF,US25459Y2809
EUSA,iShares MSCI USA Equal Weighted ETF,USA,NYSE ARCA,USD,ETF,US4642866812
EUSB,iShares Trust - iShares ESG Advanced Total USD Bond Market ETF,USA,NYSE ARCA,USD,ETF,US46436E6196
EUSC,WisdomTree Europe Hedged SmallCap Equity Fund,USA,NYSE ARCA,USD,ETF,US97717X5529
EUSM,Eventide US Market ETF,USA,NYSE ARCA,USD,ETF,US86280R7879
EVAC,EQV Ventures Acquisition Corp. II,USA,NYSE,USD,Common Stock,KYG3106Q1029
EVAC-WS,EVAC-WS,USA,NYSE,USD,Common Stock,
EVC,Entravision Communications,USA,NYSE,USD,Common Stock,US29382R1077
EVEX,Eve Holding Inc,USA,NYSE,USD,Common Stock,US29970N1046
EVEX-WT,EVEX-WT,USA,NYSE,USD,Common Stock,US29970N1129
EVF,Eaton Vance Senior Income Closed Fund,USA,NYSE,USD,Common Stock,US27826S1033
EVG,Eaton Vance Short Duration Diversified Income Closed Fund,USA,NYSE,USD,FUND,US27828V1044
EVH,Evolent Health Inc,USA,NYSE,USD,Common Stock,US30050B1017
EVHY,Morgan Stanley ETF Trust,USA,NYSE ARCA,USD,ETF,US61774R8097
EVI,EVI Industries Inc,USA,NYSE MKT,USD,Common Stock,US26929N1028
EVIM,Morgan Stanley ETF Trust,USA,NYSE ARCA,USD,ETF,US61774R8824
EVLN,Morgan Stanley ETF Trust,USA,NYSE ARCA,USD,ETF,
EVMN,"Evommune, Inc.",USA,NYSE,USD,Common Stock,US30054Y1073
EVN,Eaton Vance Municipal Income Closed Fund,USA,NYSE,USD,Common Stock,US27826U1088
EVNT,AltShares Event-Driven ETF,USA,NYSE ARCA,USD,ETF,US02210T2078
EVR,Evercore Partners Inc,USA,NYSE,USD,Common Stock,US29977A1051
EVSB,Morgan Stanley ETF Trust,USA,NYSE ARCA,USD,ETF,US61774R7008
EVSM,Morgan Stanley ETF Trust,USA,NYSE ARCA,USD,ETF,
EVT,Eaton Vance Tax Advantaged Dividend Income Closed Fund,USA,NYSE,USD,FUND,US27828G1076
EVTC,Evertec Inc,USA,NYSE,USD,Common Stock,PR30040P1032
EVTL,Vertical Aerospace Ltd,USA,NYSE,USD,Common Stock,KYG9471C1078
EVV,Eaton Vance Limited Duration IF,USA,NYSE MKT,USD,FUND,US27828H1059
EVX,VanEck Environmental Services ETF,USA,NYSE ARCA,USD,ETF,US92189F3047
EW,Edwards Lifesciences Corp,USA,NYSE,USD,Common Stock,US28176E1082
EWA,iShares MSCI Australia ETF,USA,NYSE ARCA,USD,ETF,US4642861037
EWC,iShares MSCI Canada ETF,USA,NYSE ARCA,USD,ETF,US4642865095
EWD,iShares MSCI Sweden ETF,USA,NYSE ARCA,USD,ETF,US4642867562
EWG,iShares MSCI Germany ETF,USA,NYSE ARCA,USD,ETF,US4642868065
EWH,iShares MSCI Hong Kong ETF,USA,NYSE ARCA,USD,ETF,US4642868719
EWI,iShares MSCI Italy ETF,USA,NYSE ARCA,USD,ETF,US46434G8309
EWJ,iShares MSCI Japan ETF,USA,NYSE ARCA,USD,ETF,US46434G8226
EWK,iShares MSCI Belgium ETF,USA,NYSE ARCA,USD,ETF,US4642863017
EWL,iShares MSCI Switzerland ETF,USA,NYSE ARCA,USD,ETF,US4642867497
EWM,iShares MSCI Malaysia ETF,USA,NYSE ARCA,USD,ETF,US46434G8143
EWN,iShares MSCI Netherlands ETF,USA,NYSE ARCA,USD,ETF,US4642868149
EWO,iShares MSCI Austria ETF,USA,NYSE ARCA,USD,ETF,US4642862027
EWP,iShares MSCI Spain ETF,USA,NYSE ARCA,USD,ETF,US4642867646
EWQ,iShares MSCI France ETF,USA,NYSE ARCA,USD,ETF,US4642867075
EWS,iShares MSCI Singapore ETF,USA,NYSE ARCA,USD,ETF,US46434G7806
EWT,iShares MSCI Taiwan ETF,USA,NYSE ARCA,USD,ETF,US46434G7723
EWU,iShares MSCI United Kingdom ETF,USA,NYSE ARCA,USD,ETF,US46435G3341
EWV,ProShares UltraShort MSCI Japan,USA,NYSE ARCA,USD,ETF,US74348A4590
EWW,iShares MSCI Mexico ETF,USA,NYSE ARCA,USD,ETF,US4642868222
EWX,SPDR® S&P Emerging Markets Small Cap ETF,USA,NYSE ARCA,USD,ETF,US78463X7562
EWY,iShares MSCI South Korea ETF,USA,NYSE ARCA,USD,ETF,US4642867729
EWZ,iShares MSCI Brazil ETF,USA,NYSE ARCA,USD,ETF,US4642864007
EXG,Eaton Vance Tax-Managed Global Diversified Equity Income Closed Fund,USA,NYSE,USD,FUND,US27829F1084
EXI,iShares Global Industrials ETF,USA,NYSE ARCA,USD,ETF,US4642887297
EXK,Endeavour Silver Corp.,USA,NYSE,USD,Common Stock,CA29258Y1034
